"","Year","GCM","ensembleSSB","ensembleRec","ensembleRecDevs","elsSSB","elsRecs","elsRecDevs"
"188",2070,"IPSL",1219463.73186035,22931224043.8581,1.26908248301735,1035365.44785144,17615348633.4591,0.816087270494911
"189",2071,"GFDL",431135.501268515,10703553522.7403,1.05073813399546,418471.354878316,5890338380.07405,-0.226664416421803
"190",2071,"HAD",1645585.9256494,26758883797.3549,1.29341309706716,1351748.19255728,20467933777.9896,0.837910900667595
"191",2071,"IPSL",1290214.95606994,22036633492.9795,1.11490536324501,1095263.45897856,17595410143.9895,0.748652603211835
"192",2072,"GFDL",557124.966334138,8266968353.6375,0.0505501297764753,506104.855918492,3496362237.8235,-1.61867835737506
"193",2072,"HAD",1641287.57249362,16502193997.3064,0.208385702364856,1411424.09306365,12604978221.9919,-0.22542791240151
"194",2072,"IPSL",1311716.25725085,22284733876.1161,1.12149264756532,1162064.03703893,19725756729.3887,0.922252522229676
"195",2073,"GFDL",595555.184205172,8723608456.28885,0.0674664097135843,480435.882379248,3104030877.92035,-1.78954952969214
"196",2073,"HAD",1496087.753959,15138480276.9923,0.108904726311286,1323188.19625891,12330771643.1573,-0.205441448191325
"197",2073,"IPSL",1328897.0151968,20265247763.7863,0.893208049026785,1271606.38006494,18683508827.9201,0.710153966338903
"198",2074,"GFDL",535799.625974564,7582339305.32627,-0.0820967386506658,378269.003636826,2700462335.86453,-1.70378172288373
"199",2074,"HAD",1211416.5531021,10358660883.4028,-0.511298916546943,1106081.26438999,9800181053.1825,-0.493051110289953
"200",2074,"IPSL",1374792.63310767,18123134354.7372,0.604344462823382,1366419.55525238,17930205052.4873,0.548480897631085
"201",2075,"GFDL",475822.568621614,6829045742.72752,-0.125064983269198,284956.637312835,2779064619.97753,-1.16797528314212
"202",2075,"HAD",929293.816751971,8341821988.02494,-0.669858704377505,914265.12523274,8659762878.03801,-0.527223505889948
"203",2075,"IPSL",1357646.09043171,17487275684.1591,0.537762720073228,1377018.83000309,17487275684.1591,0.487976399660153
"204",2076,"GFDL",412287.685857669,8119701311.6431,0.505061387264739,235730.899845593,4754953256.43385,0.293762823466702
"205",2076,"HAD",705282.738363003,19360975420.3939,1.6072639552876,787974.593452276,19360975420.3939,1.35366040969001
"206",2076,"IPSL",1327591.0124812,20245349942.0099,0.892092957246954,1354913.07048359,20113660001.6817,0.798788147766642
"207",2077,"GFDL",375891.291090838,8030217394.68493,0.639803476872593,247860.799081917,4794565946.65967,0.222224403226313
"208",2077,"HAD",727911.883784741,21729855301.5367,1.82114634442881,829811.799497255,21729855301.5367,1.52925132910281
"209",2077,"IPSL",1335459.17957408,15137134526.227,0.231253132993387,1361102.09956466,15137134526.227,0.19644456247556
"210",2078,"GFDL",387559.462839488,9519389528.73915,0.969392519405518,301049.942296408,6708152322.30165,0.59052933211529
"211",2078,"HAD",981768.13406649,30834204342.3705,2.20046945845135,1034209.40504092,24479634600.718,1.50929198983059
"212",2078,"IPSL",1319989.82129518,18787233365.2628,0.730311883744438,1338345.72288463,19331921963.951,0.728156529866512
"213",2079,"GFDL",429923.788216187,9912532883.06552,0.882745476493463,369910.582888842,8188292382.32552,0.665062979662053
"214",2079,"HAD",1329412.80432653,30248540781.3377,1.79402464926913,1307434.35816697,19697108079.2977,0.791878249556473
"215",2079,"IPSL",1288167.54735603,19350116586.352,0.824172975301058,1300131.51472533,17548791760.825,0.554944069397896
"216",2080,"GFDL",492641.014721566,5911141829.67425,-0.506830471992229,455915.096087653,4854737043.30375,-0.768139750506382
"217",2080,"HAD",1570799.16092741,17742895815.1393,0.415731459875334,1458541.2314551,10987415127.3968,-0.547048410354396
"218",2080,"IPSL",1308875.99490196,16816408081.9844,0.490420610717265,1318707.80139859,14198234969.1844,0.0946033420910289
"219",2081,"GFDL",506767.644522612,5566111046.76901,-0.68813010137308,490686.253334711,4334899164.41626,-1.11962948672356
"220",2081,"HAD",1533122.76849479,38244402442.4986,2.1687463118041,1368850.02309489,27197370083.3036,1.42266104874378
"221",2081,"IPSL",1292196.13451136,23049764180.605,1.21431139602106,1278143.44390909,21106760203.9075,0.961119361964647
"222",2082,"GFDL",465508.663510912,15167421257.4819,1.706640343095,457207.415267236,15167421257.4819,1.62269463430855
"223",2082,"HAD",1476525.27981636,44263940082.3491,2.53691656365184,1296926.17419753,27358924296.1391,1.49120675198537
"224",2082,"IPSL",1214854.77215868,19472344249.9695,0.905588612058996,1220185.17105505,19472344249.9695,0.841463715507047
"225",2083,"GFDL",512330.573609171,7143014654.91762,-0.144530210596416,515206.322086292,6651763025.19737,-0.293309300430239
"226",2083,"HAD",1712339.08416641,26351348279.9669,1.21979306323539,1449205.65707945,13627551213.3694,-0.0878946384728313
"227",2083,"IPSL",1261492.26997868,14598772414.4387,0.213980894398708,1280109.29196131,14058902049.1586,0.10513453700724
"228",2084,"GFDL",629286.538036332,9021525834.43751,0.0587033725505137,631965.839895501,5807459190.67626,-0.87728485400688
"229",2084,"HAD",1832080.89830128,30362000995.9439,1.47412487192211,1514851.43190999,17628505720.3527,0.409784747386495
"230",2084,"IPSL",1285192.07750258,22660192981.7106,1.18210369457406,1294111.09079685,20045953923.4689,0.839564238171205
"231",2085,"GFDL",637275.461082286,9983589764.68585,0.267604135124792,609956.284646563,4658948809.7556,-1.29012399099467
"232",2085,"HAD",1684816.06108664,29740949279.8095,1.50788795152233,1360634.06575349,20353641842.284,0.819388885092638
"233",2085,"IPSL",1275281.73936163,7240245520.42515,-1.37635405540407,1266475.72952779,5331147552.39015,-1.92232516311683
"234",2086,"GFDL",590937.604295431,11577517327.963,0.716344162399683,512338.411792873,5439381206.53455,-0.707965735252007
